DID,Clear bot?,Bot purpose,Alt text rating,Alt text example,Alt text original (if translated)
did:plc:tzmt2dul3ujpmhcebg2slry3,Likely,(unsure),0 - None,,
did:plc:lvb3dzo3zfcxhjcx576zbsqc,Yes,Dogs listed for adoption,3 - Good,"Prima from Jordan is a Adult Canaan Dog mix described as: Affectionate, Friendly, Funny, Gentle, Loves, Loyal, Quiet, Smart and Playful",
did:plc:kztn3wd3n45j3l4yr6dz6isl,No,N/A,,,
did:plc:y2g5vymm2cvveec6cnspcvzo,Yes,"Planes near Sylt Airport, Germany (ADS-B)",2 - Somewhat relevant,Image of captured plane.,
did:plc:kb6uiwmnm7ixgivuc24tzcjl,Yes,Fire alerts in Queensland,0 - None,,
did:plc:5sfpfaf2hkvajfl7n2igoixq,No,N/A,,,
did:plc:f3w3jqso2iomtxk2cethm4kl,No,N/A,,,
did:plc:k6v5rpha3ib6rzqextv4mb3l,Yes,Sexually explicit,1 - Irrelevant,-,
did:plc:b5omlf6jo77bcg3pqq7wnell,No,N/A,,,
did:plc:qrwdq6h22w646q7shqb4idqx,Yes,Radio station now playing,2 - Somewhat relevant,Neil Michael Hagerty - Know That,
did:plc:dckcdavtfeilm7bxojst3tam,Yes,Planes in New Orleans,0 - None,,
did:plc:53actj5mhfpoxpgnv3sooiyj,Yes,Amazon affiliate links (Brazilian Portuguese),3 - Good,"💥 🌟 AMAZON--07🔥Nescau Cereal Matinal Duo 210g

.

😱 For R$8.24

.

🛒 Buy here 👉🏽 https://www.amazon.com.br/gp/product/B081QWHVHB?tag=promofertaweb-20","💥 🌟 AMAZON--07🔥Nescau Cereal Matinal Duo 210G

.

😱 Por R$ 8,24

.

🛒 Compre aqui 👉🏽 https://www.amazon.com.br/gp/product/B081QWHVHB?tag=promofertaweb-20"
did:plc:zfoudecwassbud7jvmrqygd5,Yes,Sexually explicit,0 - None,,
did:plc:fzmdabpr74duu3ngue6g23th,Yes,Nicaragua news,0 - None,,
did:plc:b5p43p73cz3xszkjtwkjz5ql,No,N/A,,,
did:plc:cc6a4f6jpnkz2i6r4xgdjqxw,No,? Suspended now,,,
did:plc:qlbcbxs5lems6o5e3c4hsdmt,Yes,Radio station now playing,0 - None,,
did:plc:uskfs643xf44khbaf5nv4xle,Yes,Radio station now playing,2 - Somewhat relevant,Dalida - Pardon D  Les images peuvent être inexactes et/ou pas disponibles https://www.radiosouvenirsfm.com,Dalida - Pardon D Images may be inaccurate and/or unavailable https://www.radiosouvenirsfm.com
did:plc:7ka2hcwnnkdgurrvoutz4jb3,Yes,3 random letters,3 - Good,The letters IIU written on an image with a single color background.,As letras IIU escrito em uma imagem com um fundo de uma cor só.
did:plc:tgjxdkhvvmhfum27bnshdywe,Yes,Every frame of A Grande Familia,1 - Irrelevant,Season 01 Episode 19 - Frame 4004 of 5929,Temporada 01 Episódio 19 - Frame 4004 de 5929
did:plc:zwa4qeml2izfbklkm5yovzld,No,? Suspended now,,,
did:plc:7rxpvlo766iqnz7lqh2e7b7r,Yes,Sexually explicit,1 - Irrelevant,"[Sharing a Room with My Hated Father-in-Law on a Trip: Hikari Ninomiya]
I couldn't stand my father-in-law's ogling gaze. My husband had asked me to join him on this trip, but... My husband had to leave for work, and I was left alone with my father-in-law...","【旅先で大嫌いな義父と相部屋 二宮ひかり】
私は義父の舐め回すような視線が苦手だった。夫に言われて仕方なくついてきた旅行だった、それなのに…。夫が仕事で抜けざるを得なくなり、置いてけぼりにされた私は義父とふたりきり…。..."
did:plc:66e3iqabbdis65t22zyla2wa,Yes,Planes near St. Louis,2 - Somewhat relevant,Map of the St. Louis area showing the position and track of the aircraft described in the post.,
did:plc:sw2u3jta6dqm2dfab45a64we,Yes,Radio station now playing,2 - Somewhat relevant,The cover of the album Thanks to Life by Violeta Parra,La couverture de l'album Gracias a la vida de Violeta Parra
did:plc:6la2xxelm7jkxnd7zxrpjoj6,Yes,? Labeled as spam,0 - None,,
did:plc:lg7nd5dntumqa6xwhcpynkax,Yes,Radio station now playing,0 - None,,
did:plc:xlb232zxtfgc6wrh5enc5o66,Yes,Spam?,0 - None,,
did:plc:psdu5qt2tv5fopt5dc5vnbxj,Yes,Radio station now playing,0 - None,,
did:plc:3judfjtr342mlrhlkc57dehk,Yes,Radio station now playing,2 - Somewhat relevant,Louie Louie go home - Davie Jones & the King Bees (Early on (1964-1966) - 1964) https://www.radiofrance.fr/fip,
did:plc:riqzntcpopely5l7m3peze42,Yes,Comics,0 - None,,
did:plc:extqxtsoc4q4qnbmwizooppn,Yes,Radio station now playing,2 - Somewhat relevant,"Album artwork for ""Freak Show"" by Silverchair",
did:plc:2245x6sqmbiueuqzhjwllydb,Yes,Amazon affiliates (Brazilian Portuguese),1 - Irrelevant,🔗 https://bsky.app/profile/mlkpobrecel.bsky.social,
did:plc:2ov2ajimp7deis5yyeyx57m5,Yes,? Deactivated,,,
did:plc:34w6p2nygxpqkiqbkrnq56ip,Yes,Radio station now playing,2 - Somewhat relevant,"Album artwork for ""Deeper Well"" by Kacey Musgraves",
did:plc:om2ttmoe5t7py2jqiii5mvj3,Yes,Radio station now playing,0 - None,,
did:plc:vphzlwonyl436nnd4wdtkhf2,No,,,,
did:plc:gc6z6k3idk7wawzchbljpebm,Yes,Random traffic cam images via UDOT,1 - Irrelevant,Mountain View  SR85 NB @ Porter Rockwell Blvd  HRR,
did:plc:b2uyq7kp7fqyubbdp4p6n2nv,Yes,? Deactivated,,,
did:plc:acgbgp5bxoc3g74rni3jxgy3,Yes,Radio station now playing,2 - Somewhat relevant,Now playing on Tiorr1: Where The Heart Lands by No Promises https://streaming.shoutcast.com/tiorr3 https://listen.openstream.co/6128/audio,
did:plc:l5ootjcieq2ba5pas62w2i7b,Yes,Life sim,1 - Irrelevant,Life sim,
did:plc:gohn4bkbnkyqlgnivdtnafhe,No,,,,
did:plc:uqsv2fby2su6dj3wstxsnzkv,Yes,Radio station now playing,0 - None,,
did:plc:h2ataqkfhejqhlkmmdknshxb,Yes,Amazon affiliate (Brazilian Portuguese),2 - Somewhat relevant,darkFlash DS900 Air White,
did:plc:dnrkktjuabxs76dop3ucwspn,Yes,Radio station now playing,0 - None,,
did:plc:xvadbt5y2uuyaw4nhioghch4,Yes,Amazon affiliate (Japanese),,Product image,商品画像
did:plc:wlqajpffxdzotugoqqibtymv,Yes,Radio station now playing,0 - None,,
did:plc:lwiaptg2uuwae4xgz37r7p75,Yes,? Deactivated,,,
did:plc:biug6mgsk6i7ymfdop2dqeva,Yes,Radio station now playing,0 - None,,
did:plc:qnp66juv4t3n6qtz6jorki6v,Yes,Ships near Boston (AIS),0 - None,,
did:plc:exwsbjks4g7u5fbajmu64o4c,Yes,"Planes near Ayer, MA",0 - None,,
did:plc:lwhroh6pcztwb4evj5xwmqjo,Yes,Planes near Boston,0 - None,,
did:plc:mcb6n67plnrlx4lg35natk2b,Yes,Bluesky's trending trend words,3 - Good,"Word Cloud; its top words (sorted by weighted frequency, descending):  unc, belichick, gaza*, democracy*, tcu, gary, greene, ukraine*, yago, nadler, dora, nelvana, graham, belichick's, medal, 2pm, virgo, tar, platner, chapel, venus, ursula, rivas, resigning, barnes, surfe, nate, landscaping, dances, capricorn, brady, adjustments, victorian, tainted, stroke, sewell, setembro, septiembre, sep, leyen, julgamento, janitor, jamming, inflated, halftime, disposal, defund, colapinto, campeão, bill's, bia, audios, @jaketapper.bsky.social, 1﹐535, ９月, 해야, 일을, 覚醒, 悪口, ‍‍‍, warmer, tara, spectacles, silicone, sideline, shinobi, september, schneider, reskeet, príncipe, ominous, nosferatu, natisha, mlp, meadow, labor, knit, jordon, iz, hodge, hiedeman, gorilla, gary's, fe, debris, césar, crewneck, courtney, cheetos, charter, carolina, belichek, aleatória, @grahamformaine.bsky.social, 96-71, 73, 현재, 솔직히, 사람은, 밖에, 追い詰め, 足し, 見守る, 社員, 根拠, 嫌わ, 失っ, 同じく, 優秀, 仙台, ミント, バン, デート, れい, おもしろ, مع, workflow, wolves, wipes, wagging, việc, vader, uruguay, uau, trait, toledo, tiresome, tilt, ticking, thunderheart, throats, thanku, tela, teachings, taliban, susan, steamy, stacking, staat, sourdough, soggy, soaked, siri, shildt, sertanejo, semafor, scripture, scorpio, scholars, scat, scarce, saskatchewan, sacanagem, rpm, respectively, reforma, reelection, reed, recognizes, queremos, pixie, peril, perguntando, pb, pax, paused, pats, parting, oscar-nominated, orioles, orgy, orang, olhar, odete, nosotros, nightswimming, nariz, napoleon, nadler's, multimodal, mgs, mcbride, martes, mars, marched, maiden, m24, lively, levy, levantar, legitimacy, leader's, kitchens, kevorian, keegan, karina, justicia, juceir, jornalismo, janitors",
did:plc:djen56py26sczch6dtpoyn3k,Yes,"Planes near Forla, Italy",0 - None,,
did:plc:d2kebrl63qoq6bxi2uw2arom,Yes,Photos,0 - None,,
did:plc:w2tnc7phu3comxxiiidhbfnc,Yes,Amazon affiliate,1 - Irrelevant,Product image,商品画像
did:plc:vsg2udarucrdah4ww6idh5z6,No,,,,
did:plc:txlumtcwqmazdvmd742qronl,Yes,Boats near Spain (AIS),0 - None,,
did:plc:aj7l6nr2x44arw6xjkabz26a,Yes,Rakuten affiliate,1 - Irrelevant,Product image,商品画像
did:plc:j5k6e6hf2rp4bkqk5sao56ad,Yes,Amazon affiliate,1 - Irrelevant,Product image,商品画像
did:plc:kggcpl6qgpdhy5mtl5qjcdl4,Yes,Volcanoes in Costa Rica,1 - Irrelevant,Poás Volcano Webcam. View from Santa Barbara de Heredia,Webcam Volcán Poás. Vista desde Santa Barbara de Heredia
did:plc:wajitna6voh2gp4ejyxwy45l,Yes,Current time,1 - Irrelevant,Clocks showing current time in various cities,
did:plc:pdvjdejvjinix4lnt4sgzg7r,Yes,Job postings,2 - Somewhat relevant,📢 Spotify is hiring a Marketing Science Lead - London at Spotify!,
did:plc:bxbou45dh7mhgrkiefnp6jve,Yes,"Boats near Friesland, NL",0 - None,,
